# RL Training Session: rl_session_1755759409646,,,,,,
"# Parameters: {""learningRate"":0.1",discountFactor:0.95,initialEpsilon:1,rewardGoal:100,penaltyFall:-10,penaltyWallHit:-2,rewardPerTick:-0.1}
# Snapshot taken at: 2025-08-21T07:19:38.229Z,,,,,,
# Episodes recorded: 156,,,,,,
,,,,,,
=== EPISODES ===,,,,,,
Episode,TotalReward,Steps,Outcome,FinalDistance,Epsilon,Timestamp
0,97.87,2557,goal,0,1,2025-08-21T06:57:10.953Z
1,-10.85,1019,timeout,14,0.98,2025-08-21T06:57:19.544Z
2,-10.61,726,fall,14,0.9604,2025-08-21T06:57:25.594Z
3,-11.49,1788,timeout,14,0.9412,2025-08-21T06:57:40.494Z
4,97.03,3570,goal,0,0.9224,2025-08-21T06:58:10.243Z
5,96.44,4278,goal,0,0.9039,2025-08-21T06:58:45.992Z
6,-13.16,3786,timeout,14,0.8858,2025-08-21T06:59:17.642Z
7,-10.34,408,fall,14,0.8681,2025-08-21T06:59:21.042Z
8,-10.43,518,fall,14,0.8508,2025-08-21T06:59:25.358Z
9,-10.67,808,fall,14,0.8337,2025-08-21T06:59:32.091Z
10,-10.92,1104,timeout,14,0.8171,2025-08-21T06:59:41.292Z
11,-10.3,358,fall,14,0.8007,2025-08-21T06:59:44.274Z
12,-10.24,284,fall,14,0.7847,2025-08-21T06:59:46.641Z
13,-10.89,1072,timeout,14,0.769,2025-08-21T06:59:55.574Z
14,-11.4,1682,timeout,14,0.7536,2025-08-21T07:00:09.591Z
15,-14.92,5904,timeout,14,0.7386,2025-08-21T07:00:58.789Z
16,98.42,1892,goal,0,0.7238,2025-08-21T07:01:14.557Z
17,-11.13,1352,timeout,14,0.7093,2025-08-21T07:01:25.922Z
18,99.28,862,goal,0,0.6951,2025-08-21T07:01:33.106Z
19,-10.52,622,fall,14,0.6812,2025-08-21T07:01:38.389Z
20,98.91,1314,goal,0,0.6676,2025-08-21T07:01:49.338Z
21,-11.44,1732,timeout,14,0.6543,2025-08-21T07:02:03.872Z
22,-12.44,2926,timeout,14,0.6412,2025-08-21T07:02:28.255Z
23,-11.21,1450,timeout,14,0.6283,2025-08-21T07:02:40.338Z
24,-10.22,268,fall,14,0.6158,2025-08-21T07:02:42.571Z
25,99.69,370,goal,0,0.6035,2025-08-21T07:02:45.654Z
26,99.23,922,goal,0,0.5914,2025-08-21T07:02:53.438Z
27,-10.21,256,fall,14,0.5796,2025-08-21T07:02:55.671Z
28,-10.23,280,fall,14,0.568,2025-08-21T07:02:58.004Z
29,-11.92,2308,timeout,14,0.5566,2025-08-21T07:03:17.238Z
30,94.49,6614,goal,0,0.5455,2025-08-21T07:04:12.352Z
31,-10.37,438,fall,14,0.5346,2025-08-21T07:04:16.103Z
32,-11.95,2346,timeout,14,0.5239,2025-08-21T07:04:35.649Z
33,-10.39,474,fall,14,0.5134,2025-08-21T07:04:39.598Z
34,-10.22,265,fall,14,0.5031,2025-08-21T07:04:41.805Z
35,-10.24,291,fall,14,0.4931,2025-08-21T07:04:44.232Z
36,-10.4,484,fall,14,0.4832,2025-08-21T07:04:48.265Z
37,-10.32,387,fall,14,0.4735,2025-08-21T07:04:51.489Z
38,-10.24,285,fall,14,0.4641,2025-08-21T07:04:53.865Z
39,-10.4,479,fall,14,0.4548,2025-08-21T07:04:57.856Z
40,-12.22,2666,timeout,14,0.4457,2025-08-21T07:05:20.072Z
41,-10.26,314,fall,14,0.4368,2025-08-21T07:05:22.689Z
42,-10.54,642,fall,14,0.4281,2025-08-21T07:05:28.039Z
43,-12.67,3200,timeout,14,0.4195,2025-08-21T07:05:54.705Z
44,-10.18,220,fall,14,0.4111,2025-08-21T07:05:56.538Z
45,93.96,7242,goal,0,0.4029,2025-08-21T07:06:56.904Z
46,99.78,262,goal,0,0.3948,2025-08-21T07:06:59.187Z
47,99.78,258,goal,0,0.3869,2025-08-21T07:07:01.439Z
48,99.22,940,goal,0,0.3792,2025-08-21T07:07:09.374Z
49,99.61,472,goal,0,0.3716,2025-08-21T07:07:13.409Z
50,99.83,210,goal,0,0.3642,2025-08-21T07:07:15.260Z
51,98.74,1510,goal,0,0.3569,2025-08-21T07:07:27.945Z
52,98.18,2190,goal,0,0.3497,2025-08-21T07:07:46.295Z
53,-10.16,192,fall,14,0.3428,2025-08-21T07:07:47.995Z
54,-10.2,240,fall,14,0.3359,2025-08-21T07:07:49.995Z
55,-11.21,1452,timeout,14,0.3292,2025-08-21T07:08:02.095Z
56,-10.29,346,fall,14,0.3226,2025-08-21T07:08:04.979Z
57,-10.56,676,fall,14,0.3161,2025-08-21T07:08:10.612Z
58,99.78,270,goal,0,0.3098,2025-08-21T07:08:12.861Z
59,99.84,188,goal,0,0.3036,2025-08-21T07:08:14.529Z
60,99.82,220,goal,0,0.2976,2025-08-21T07:08:16.462Z
61,99.72,338,goal,0,0.2916,2025-08-21T07:08:19.379Z
62,99.68,380,goal,0,0.2858,2025-08-21T07:08:22.645Z
63,99.82,220,goal,0,0.2801,2025-08-21T07:08:24.579Z
64,99.77,278,goal,0,0.2745,2025-08-21T07:08:26.994Z
65,99.86,172,goal,0,0.269,2025-08-21T07:08:28.528Z
66,99.84,192,goal,0,0.2636,2025-08-21T07:08:30.228Z
67,99.83,204,goal,0,0.2583,2025-08-21T07:08:32.029Z
68,99.78,258,goal,0,0.2531,2025-08-21T07:08:34.279Z
69,98.12,2254,goal,0,0.2481,2025-08-21T07:08:53.161Z
70,-10.15,182,fall,14,0.2431,2025-08-21T07:08:54.778Z
71,-10.2,238,fall,14,0.2383,2025-08-21T07:08:56.762Z
72,-10.2,244,fall,14,0.2335,2025-08-21T07:08:58.795Z
73,-10.25,298,fall,14,0.2288,2025-08-21T07:09:01.278Z
74,99.76,288,goal,0,0.2242,2025-08-21T07:09:03.678Z
75,99.83,198,goal,0,0.2198,2025-08-21T07:09:05.428Z
76,99.83,200,goal,0,0.2154,2025-08-21T07:09:07.195Z
77,99.69,368,goal,0,0.2111,2025-08-21T07:09:10.361Z
78,99.64,430,goal,0,0.2068,2025-08-21T07:09:14.045Z
79,99.87,158,goal,0,0.2027,2025-08-21T07:09:15.461Z
80,99.86,164,goal,0,0.1986,2025-08-21T07:09:16.929Z
81,99.86,166,goal,0,0.1947,2025-08-21T07:09:18.411Z
82,99.87,158,goal,0,0.1908,2025-08-21T07:09:19.828Z
83,99.87,160,goal,0,0.187,2025-08-21T07:09:21.261Z
84,99.86,164,goal,0,0.1832,2025-08-21T07:09:22.728Z
85,99.78,264,goal,0,0.1796,2025-08-21T07:09:25.027Z
86,-10.39,472,fall,14,0.176,2025-08-21T07:09:29.061Z
87,96.37,4354,goal,0,0.1725,2025-08-21T07:10:05.343Z
88,99.87,160,goal,0,0.169,2025-08-21T07:10:06.778Z
89,99.84,188,goal,0,0.1656,2025-08-21T07:10:08.444Z
90,99.86,166,goal,0,0.1623,2025-08-21T07:10:09.927Z
91,99.86,164,goal,0,0.1591,2025-08-21T07:10:11.394Z
92,99.85,176,goal,0,0.1559,2025-08-21T07:10:12.961Z
93,99.86,162,goal,0,0.1528,2025-08-21T07:10:14.411Z
94,99.8,238,goal,0,0.1497,2025-08-21T07:10:16.494Z
95,96.12,4652,goal,0,0.1467,2025-08-21T07:10:55.360Z
96,99.65,418,goal,0,0.1438,2025-08-21T07:10:58.944Z
97,99.82,222,goal,0,0.1409,2025-08-21T07:11:00.893Z
98,99.66,406,goal,0,0.1381,2025-08-21T07:11:04.377Z
99,99.81,230,goal,0,0.1353,2025-08-21T07:11:06.393Z
100,99.84,194,goal,0,0.1326,2025-08-21T07:11:08.110Z
101,61.87,1386,goal,0,0.13,2025-08-21T07:11:19.761Z
102,82.63,1688,goal,0,0.1274,2025-08-21T07:11:33.926Z
103,69.86,3865,goal,0,0.1248,2025-08-21T07:12:06.236Z
104,-18.48,4275,timeout,14,0.1223,2025-08-21T07:12:41.959Z
105,-10.18,221,fall,14,0.1199,2025-08-21T07:12:43.802Z
106,-10.2,247,fall,14,0.1175,2025-08-21T07:12:45.859Z
107,-10.16,201,fall,14,0.1151,2025-08-21T07:12:47.534Z
108,-11.5,1853,timeout,14,0.1128,2025-08-21T07:13:02.976Z
109,-10.39,485,fall,14,0.1106,2025-08-21T07:13:07.017Z
110,-10.16,199,fall,14,0.1084,2025-08-21T07:13:08.676Z
111,-10.16,196,fall,14,0.1062,2025-08-21T07:13:10.308Z
112,-10.22,275,fall,14,0.1041,2025-08-21T07:13:12.601Z
113,-37.44,3008,timeout,14,0.102,2025-08-21T07:13:37.667Z
114,-10.48,594,fall,14,0.0999,2025-08-21T07:13:42.617Z
115,-10.32,391,fall,14,0.0979,2025-08-21T07:13:45.875Z
116,-10.28,348,fall,14,0.096,2025-08-21T07:13:48.775Z
117,-10.62,759,fall,14,0.0941,2025-08-21T07:13:55.101Z
118,-10.31,386,fall,14,0.0922,2025-08-21T07:13:58.317Z
119,-10.92,1130,timeout,14,0.0903,2025-08-21T07:14:07.733Z
120,-10.2,245,fall,14,0.0885,2025-08-21T07:14:09.775Z
121,-10.2,246,fall,14,0.0868,2025-08-21T07:14:11.825Z
122,-10.28,341,fall,14,0.085,2025-08-21T07:14:14.666Z
123,65.51,9198,goal,0,0.0833,2025-08-21T07:15:31.316Z
124,-15.25,311,fall,14,0.0817,2025-08-21T07:15:34.007Z
125,-25.05,1297,timeout,14,0.08,2025-08-21T07:15:44.815Z
126,-15.32,394,fall,14,0.0784,2025-08-21T07:15:48.099Z
127,-10.32,393,fall,14,0.0769,2025-08-21T07:15:51.373Z
128,-10.53,656,fall,14,0.0753,2025-08-21T07:15:56.840Z
129,-10.98,1207,timeout,14,0.0738,2025-08-21T07:16:06.898Z
130,-34.06,2528,timeout,14,0.0723,2025-08-21T07:16:27.966Z
131,-15.41,504,fall,14,0.0709,2025-08-21T07:16:32.166Z
132,-36.51,8003,timeout,14,0.0695,2025-08-21T07:17:38.856Z
133,94.82,219,goal,0,0.0681,2025-08-21T07:17:40.682Z
134,-10.3,363,fall,14,0.0667,2025-08-21T07:17:43.806Z
135,-10.19,238,fall,14,0.0654,2025-08-21T07:17:45.790Z
136,-10.18,221,fall,14,0.0641,2025-08-21T07:17:47.631Z
137,-10.16,197,fall,14,0.0628,2025-08-21T07:17:49.273Z
138,-10.19,238,fall,14,0.0615,2025-08-21T07:17:51.256Z
139,-10.18,218,fall,14,0.0603,2025-08-21T07:17:53.072Z
140,-10.16,197,fall,14,0.0591,2025-08-21T07:17:54.714Z
141,-10.21,264,fall,14,0.0579,2025-08-21T07:17:56.915Z
142,-11.43,1761,timeout,14,0.0568,2025-08-21T07:18:11.590Z
143,-10.41,501,fall,14,0.0556,2025-08-21T07:18:15.763Z
144,-10.16,197,fall,14,0.0545,2025-08-21T07:18:17.406Z
145,-10.16,198,fall,14,0.0534,2025-08-21T07:18:19.055Z
146,-11.27,1561,timeout,14,0.0524,2025-08-21T07:18:32.065Z
147,-10.16,197,fall,14,0.0513,2025-08-21T07:18:33.706Z
148,-10.16,195,fall,14,0.0503,2025-08-21T07:18:35.330Z
149,-10.16,197,fall,14,0.05,2025-08-21T07:18:36.972Z
150,-16.32,1625,timeout,14,0.05,2025-08-21T07:18:50.514Z
151,-10.16,197,fall,14,0.05,2025-08-21T07:18:52.155Z
152,-16.97,2413,timeout,14,0.05,2025-08-21T07:19:12.263Z
153,-21.45,1774,timeout,14,0.05,2025-08-21T07:19:27.047Z
154,-15.93,1134,timeout,14,0.05,2025-08-21T07:19:36.496Z
155,-10.16,200,fall,14,0.05,2025-08-21T07:19:38.163Z